#id, 楼层, 上/下按钮, 要去几层, 读取下一条数据间隔时间
1,6,UP,23,2
2,5,UP,20,2
3,3,UP,18,4
4,14,DOWN,8,2
5,17,DOWN,1,4
6,5,UP,22,6
7,21,DOWN,3,4
8,23,DOWN,9,3
9,2,UP,14,6
10,24,DOWN,6,3
11,1,UP,23,3
12,6,UP,24,5
13,12,DOWN,5,4
14,16,UP,17,4
15,18,DOWN,12,1
16,7,UP,18,5
17,11,UP,19,3
18,21,UP,24,5
19,23,DOWN,10,6
20,7,UP,20,6
21,14,UP,16,6
22,18,DOWN,15,4
23,13,DOWN,1,6
24,6,DOWN,3,5
25,5,UP,9,6
26,17,UP,21,2
27,18,DOWN,4,1
28,19,DOWN,4,4
29,17,DOWN,2,3
30,18,DOWN,16,5
31,9,DOWN,2,2
32,2,UP,6,5
33,5,UP,24,4
34,19,DOWN,11,3
35,14,DOWN,10,2
36,3,UP,9,5
37,7,UP,12,2
38,3,UP,12,1
39,14,DOWN,12,3
40,4,UP,10,3
41,18,DOWN,3,5
42,7,DOWN,6,6
43,22,UP,24,5
44,13,UP,14,5
45,12,DOWN,3,4
46,22,DOWN,8,3
47,21,DOWN,13,4
48,12,UP,23,6
49,23,DOWN,4,5
50,17,DOWN,6,4
51,20,DOWN,8,5
52,15,UP,19,2
#如果有53号seed，使用 tag 重现#53#bug
53,11,DOWN,10,6
